content,SENTIMEN,,,,
"Semoga kedepannya Shopie bisa lbh baik lagi, pesan saya penjual yg nakal suka mengakali pembeli hrs lbh diperhatikan lagi.soalnya byk penjual mengatas namakan pakai hadiah, terus byk konsumen yg ketipu..cia you Shopie ????",negatif,,,,
Enak nyaman,positif,,,,
shopee skrng kenapa sih padahal ada paketan dan jaringan juga lancar lancar aja tapi knp kadang suka ga muncul gambar nya atau loading mulu ya,negatif,,,,
"kenapa kak saya paket ny dibatalkan ya padahal kan saya dirumah ada sudah menunggu, langsung batal aja telpon kan bisa....-_",negatif,,,,
Iklan kau menyebalkan,negatif,,,,
Lemot,negatif,,,,
Good,positif,,,,
"Makin lemot euy, lieur",negatif,,,,
Lumyn lahj,positif,,,,
good,positif,,,,
makin berat aplikasinya,negatif,,,,
aAaaa‡‡‡aaa3 5 d,negatif,,,,
Suka banget apa tpi aqw gk negerti sistem yang tulisannya promo 10rbu pas di.klik.jadi 25.. Gk pham caranya,positif,,,,
Hantu,positif,,,,
Live dihilangkan saja,negatif,,,,
"S pinjem udah bayar padahal tapi masih ada tagihannya, udah di kirim juga buktinya di fb di whatsapp tapi ga di respon sama sekali",negatif,,,,
Alhamdulillah aplikasi ini membantu kita dalam berbelanja ..terima kasih banyak atas bantuannya untuk memudahkan kita dalam berbelanja.,positif,,,,
Top....saya suka gratis nya karna saya penguna dari desa ..jadi bisa meringankan ongkir ..tuk shopee. Jgn gratis onkir aja mainkan diskon potong langsung setiap bulan y seperti Tk pedia 50 minin b3lnja jadi 30 ptg langsung byr ..seperti tik tok shop toko pedia dan lazada gila gilaan kalo kasi potong langsung harga brg,positif,,,,
Pengiriman cepat,positif,,,,
Shoopee memang mantap,positif,,,,
Lucu,positif,,,,
Kakk aplikasi kenapa makin lemot ya abis diperbarui ??????,negatif,,,,
membantu,positif,,,,
Moga lo gda yg make ajg gua lgi war malah nimbul iklan lo bngst,negatif,,,,
Oke bos,positif,,,,
Mantap,positif,,,,
Puas,positif,,,,
Bagud,positif,,,,
Mantapl,positif,,,,
Lemot,negatif,,,,
makin lama makin super lemot app nya.. sangat kecewa tidak seperti yg dulu pdahal jaringn full ...,negatif,,,,
Jarang kecewa,positif,,,,
Sangat memuaskan,positif,,,,
Sangat ngelag padahal sudah di update jaringan pun lancar bahkan mau login ke akun lain aja susah tolong diperbaiki lagi min,negatif,,,,
"Kok makin update makin berat, makin lelet, makin banyak bug nya. Pas main gensin impact malah lebih lancar no delay",negatif,,,,
Iklan banyak,negatif,,,,
baguss,positif,,,,
gut,positif,,,,
"Bagus banget,harga murah dan mudah digunakan",positif,,,,
Bagus,positif,,,,
Bagus tapi lama kelamaan pegiriman lama sampai,positif,,,,
"mantab belanja di shopee, ayo buruan belanja nunggu kapan lagi.",positif,,,,
baguss cepat datang nya,positif,,,,
Bagus tapi banyak penipu kyk aku mau beli barang dtg nya yg lain,positif,,,,
Game lotnok,negatif,,,,
Sukses selalu shopee,positif,,,,
Ok,positif,,,,
"Ya Allah lelet bangeeeet, apalg yang kesabaran ku setipis tisu ini !!!! Ini apk nya berat gara2 kebanyakan fitur2 apa.. Aku kasih bintang 2 saja.",negatif,,,,
Seru bisa belnja,positif,,,,
??,positif,,,,
Baik,positif,,,,
Bagus,positif,,,,
sering ngelag. kesel produk nya juga itu2 terus yang yg muncul,negatif,,,,
Shopee nya bangkrut gak jelas bikin shoppe paylater aja ribet sekarang yang ujung ujung nya malah coba lagi tulisan nya shoppe bangkrut,negatif,,,,
Lho tt,negatif,,,,
"biar apa si ada shopee vidio segala? bikin aplikasi MAKIN BERAT aja, MAKIN LEMOT gaketulungan!",negatif,,,,
Lemooottt aplikasinya,negatif,,,,
"Sumpah kecewa bgt, pembatalan pesanan tuh ga di acc pdhl akun dengan label shopeemall. Sudah dijelaskan kalo alamatnya salah, pembelian lewat shopeepay, semuanya lewat shopee tapi service ke pembeli kok kaya gini. Bye ga akan pake shopee lagi. Saran buat user lainnya cek dlu deh alamat dan kelengkapannya, shopee ga tanggung jwb soal pembatalan.",negatif,,,,
oke,positif,,,,
aplikasinya beraaaaaaattttt ... alias lemoootttttt mending LAZ lebih ringan,negatif,,,,
sangat bagus,positif,,,,
Aplikasinya aga lelet jadi suka kesel jadinya mau blanja tapi aplikasi lemot masih cepetan yg sebelah,negatif,,,,
Belanjnya cepat dan mudah,positif,,,,
Good job,positif,,,,
Good job,positif,,,,
"Puas bgt blnja di Shopee,hrga lbh murah dan pelayanan oke.trmksh dan sukses trs ya??",positif,,,,
Mempermudah belanja + ada gratis ongkirnya lagi??,positif,,,,
Asu,negatif,,,,
"Bagus bnget,,mau apa aja tinggal ki",positif,,,,
Aplikasi yang sangat amat bermanfaat dan berguna sekali,positif,,,,
Udh ckup ok lah..??,positif,,,,
Aplikasi berat dan sering lag,negatif,,,,
Seneng deh punya Shopee berasa punya mall pribadi??????,positif,,,,
"Gua heran sama shope..makin kesini makin berat aja ..buka beranda aja gk pda kliatan foto2 produknya..padahal sinyal wifi udh kenceng..gitU kdang suka kecewa mau beli apa2 lambat banget.tlong dong dibenerin lagi ,,kya fitur2 video2 g jelas ilangin aja,malahan kaya tiktok jdinya ada video2 bukan jualan malahan video2 lain.",negatif,,,,
mantap shoope paling hebat .. semoga sukses dan jaya terus??,positif,,,,
Dua kali beli menggunakan kurir shopee express barang tidak pernah sampai,negatif,,,,
"gratis ongkir emg selalu ada, tp biaya penanganan semakin naik ku rasa . di perbaiki dong tolong",negatif,,,,
"Apk ny lemot, berat",negatif,,,,
sangat memuaskan ....terimakasihh,positif,,,,
Good,positif,,,,
shoppe mantap...,positif,,,,
luwarbiyasa,positif,,,,
Memang oke,positif,,,,
Alham dullillah pesanan nya dh sampai mudah 2 an awet bisa order lg,positif,,,,
"Saya senang sekali berbelanja di shopee, bisa gratis ongkir tanpa minimum belanja, thanks shopee smoga sukses terus ya :) Maaf gak bisa kasih bintang 5 soalnya msh suka lemot aplikasinya",positif,,,,
tiga dulu klo bagus saya tambah,positif,,,,
Lelet,negatif,,,,
sangat nyaman,positif,,,,
Santap bro,positif,,,,
Sungguh sangat membantu setelah memakai aplikasi shopee belanja lebih mudah dan enak,positif,,,,
Cuma shopeepaynya penanganan cs terlalu lama... Semuanya mantab,positif,,,,
Good,positif,,,,
Tidak mengecewakan pesanan sellu cocok????,positif,,,,
nice,positif,,,,
Aku suka belanja disini. Tapi terkadang lelet banget. Gak bisa lihat barang. Dan terkadang susah utk checkout,positif,,,,
"Aktivasi Spinjam gak bisa, Spaylatter katanya ada data yang gak sesuai, pas telfon ga ada data saya yang gak sesuai semua sesuai. Kebijakan perusahaan harusnya bisa membantu nasabahnya, tapi malah gak bisa di gunakan transaksi.",negatif,,,,
Ayo belanja di shopee mumpung lagi ada diskon super gede,positif,,,,
Bagus,positif,,,,
mkaaih selalu pakai jasa shopee,positif,,,,
mantap,positif,,,,
Nyaman belanja di shopee,positif,,,,
Gk semaksimal awal2.diupdate malah ngelag bgt.dikira sinyalnya yg bapuk.buka aplikasi lain lancar kenceng2 aja.pas shopee malah ngelag kaya yg berat,negatif,,,,
Buruk,negatif,,,,
Makin bobrok,negatif,,,,
"Aplikasi belanja online yg bagus, pengrimannya juga cepat, dan kurirnya ramah, berkembang terus yah????",positif,,,,
spam iklan trus,negatif,,,,
Fungsional,positif,,,,
"gila2 lu shopee ngebanned aku sembarangan... pelanggan apa juga gak jelas... customer servis bilang kesalahan bukan dari akun saya, ditanyain g ad kejelasan sama sekali akun jualan ngidupin banyak org diblok sampe 5 hari g ad penjualan sama sekali. gila banget.... gila lu g bsa handle permasalahan gak solutif. g akan saya ubah bintang ini sebelum lu benerin kinerja tim terkait lu ngatasi satu akun aj bisa.",negatif,,,,
mantap,positif,,,,
bagusnya,positif,,,,
Setelah diupdate malah lemot gini buat video,negatif,,,,
Aplikasi tolol mending lajada keren emang sopi tolol,negatif,,,,
.d,positif,,,,
Mantap,positif,,,,
"Heeeii... Ini. Knapa sdh bbpa hari kek gini mau live shoppe, mau co pasti ada pemberitahuan... Sedang memuat fitur silahkan tunggu... Kenapa ini... Tolong secepatnya perbaiki",negatif,,,,
"Sekelas shopee mall, ngirim barang rusak Kapokk",negatif,,,,
Iklanny ngeganggu,negatif,,,,
Enak bener njir yang hadiah gratisan beneran dong,positif,,,,
"Saya tidak bisa menerima pesan kode (OTP), padahal saya menggunakan no masih aktif, sinyal bagus, shopee update yang terbaru, bahkan saya sudah hapus data tetap tidak bisa hadehhhhhh merugikan si pembeli dan si penjual!!!!!.",negatif,,,,
Mantap????,positif,,,,
hati2 barang rusak,negatif,,,,
"Untuk aplikasi sudah cukup bagus tapi MASUKAN SARAN buat Shopee: Tolong tab chat toko dan chat kita sebagai pembeli dipisah donk, jangan dicampur gini. Jadi pusing lihatnya apalagi kalau chat udah banyak. Sama seperti tab penilaian yang dipisah antara penilaian toko dan penilaian kita sebagai pembeli. Mohon saran ini dipertimbangkan. Thanks.",positif,,,,
??????,positif,,,,
Bagus,positif,,,,
Shopee 6.6 mega big sale,positif,,,,
mantap mmng shoope,positif,,,,
"Pengirim cepat dan kurir nya ramah,,,ngk rugi berlangganan di shopee..ok banget????",positif,,,,
Tinnkat kan,positif,,,,
!.ko ubj kutu bu,negatif,,,,
Bagus untuk mwmbeli kebutuhan,positif,,,,
Sangat membantu,positif,,,,
Baguss,positif,,,,
Oke barang nya aman,positif,,,,
Payah kenapa Shopee sekarang gak bisa cod Padahal paket selalu ku bayar...,negatif,,,,
Shoppe pelit tidak ada gratis ongkir walaupun event saya mau beli instan 2 jam tapi harus pakek minimal belanja saya kasih bintang 1 gak kayak dulu,negatif,,,,
Setelah di update ternyata makin lelet ?????,negatif,,,,
"Punya saldo di shopepay mau transfer / cek saldo aja susah bgt lemot bgt, udah di update di download lagi juga masih lemot udah refresh berkali kali di waktu yg berbeda masih sama aja",negatif,,,,
"Penjualan toko online dg respon yg baik ,cepat & terpercaya",positif,,,,
"huft shopee makin kesini semakin jelek, dari yg banyak bug seperti saat mau mengganti nama akun tetapi tidak bisa ( baru buat akun ).",negatif,,,,
Good,positif,,,,
Dv,negatif,,,,
Oke lah,positif,,,,
Dari apk sih bagus. Cuma dari pihak shopee express y lambat dalam pengiriman. Niat hati nunggu tapi malah di bikin kesel krna pihak kurir yg gak ada komunikasi sama customer. Khusus buat shopee express slawi kab tegal mending di bubarin semua management y. Banyak yg komplain perihal pengirimannya. Apa memang pihak kurir di sini males"an? Pdhl di gaji tapi gk mikirin pihak apk y yg membuat nama apk jadi buruk gara" oknum yang males"an. Mending perbaiki lagi management di slawi!! JELEK BANGET!!,positif,,,,
Cepat dan sesuai pesanan,positif,,,,
Dengan adanya shopee bersama fitur2 nya yg oke. Saya benar benar merasa terbantu dlm berbisnis,positif,,,,
Trimakasih,positif,,,,
Iu,ngatif,,,,
ok,positif,,,,
baik,positif,,,,
"oke lah ,,,harga murah murah,",positif,,,,
Shopee kok d bekukan payliternya bayar gak tlat,negatif,,,,
makin kesini makin lelet padahal jaringan stabil,negatif,,,,
"Gajelas, tiba tiba buka shopee kok ada daftar pengikut dan diikuti tanpa adanya konfirmasi dari saya selaku pengguna padahal saya tidak pernah menambahkan pertemanan apapun. Tolong hargai privasi, walaupun terhubung terhadap akun sosmed bukan berarti pihak shopee langsung membuat mereka menjadi teman juga di shope. HARGAI PRIVASI!!!",negatif,,,,
Sangn membantu dalam belanja,positif,,,,
Ok deh shopee sarannya cuma sekali2 kasih gift dong buat pelanggan setia yaa,positif,,,,
Bagus,positif,,,,
Saya kasi bintang 1 karna sitem COD berkurang masa mau beli 20 ribu aja mau tf dulu ...,negatif,,,,
"Kurirny mohon untuk diperhatikan lg, tidak menghubungi dulu asal menaruh barang ke alamat yang salah.",negatif,,,,
Bangusssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss bangettttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt,positif,,,,
"Plus.mines.belanja.online. Minesnya barang nya aja belum.kita pegang, dibatalkan.ngga bisa, padahal.cuma karena mau ganti sistem pembayaran. Sudah LANGGANAN pula tapi ngga diijinkan melakukan pembatalan dengan alasan RESI.SUDAH DICETAK.",positif,,,,
Pelayann buruk pengirimn buruk lewati,negatif,,,,
aplikasi parah berat hp ram 4 aja lemot,negatif,,,,
Belanja jadi lebih mudah,positif,,,,
Ribettttt Masa reset handphone pembayaran Shopie di blokir blok,negatif,,,,
"Suka bgt sama aslinya ,memudahkan semua orang berbelanja tanpa ribet,tinggal duduk anteng di rumah paket nyampe deh?? ???",positif,,,,
Josss,positif,,,,
Sudah lama belanja. Masih ad penipuan di sini... Entah komplotan.. join sama Sophie... 4x. Jualan gak sesuai gakbar kick .gak sesuai diskripsi keluar kan. Ya jual itu aj repot. Tggu reting banyak lah korban' gak jelas shopy,negatif,,,,
Shopee sangat membantu,positif,,,,
pelayanan bagus,positif,,,,
Shopee memang bagus bayak diskon dan gratis ongkir,positif,,,,
"Apk shopee ini yang terbaik bagi kita semua,pelayanan cepat dan tidak merugikan pelanggannya good ??????",positif,,,,
Bagus,positif,,,,
Banyak iklan,negatif,,,,
T O P,positif,,,,
suka,positif,,,,
Baik,positif,,,,
Gk bisa di dowloand me Gimna ya?,negatif,,,,
"Sdh 2x Terima pesanan lewat Shopee, lumayan jg krn sdh terjangkau kurir, terimakasih Shopee",positif,,,,
Pelayanan shopee bagus dan alhmdulilah selama ini lancar dan blm pernh dikecewakn.,positif,,,,
Buruk,negatif,,,,
Tolong duperbaiki aplikasinya lumayan lemot padahal saya pake kuota,negatif,,,,
Semoga terus amanah,positif,,,,
sangat bagus,positif,,,,
Bagus sih cuman pas masuk melihat keranjang saya tiba-tiba eror hp saya untung tidak apa apa,positif,,,,
Loss,negatif,,,,
aplikasi yang bagus buat beli barang dan kebutuhan lainya,positif,,,,
Toko online terbaik hingga sekarang yg ada di Indonesia,positif,,,,
shopee is the best,positif,,,,
saya sangat senang dan puas,positif,,,,
"Lelet kale pengiriman, sortir kok kaya milih≤ janda",negatif,,,,
"Klo pembaruan jangan d lemotin si aplikasi nya, pembaruan kok lemot banget mau pesen barang juga, bikin kesel Aja",negatif,,,,
sangat menbantu,positif,,,,
Ok,positif,,,,
Maaf..kenapa ya ga ada ongkirnya kok aneh ya...,negatif,,,,
Apk shopy sangat membantu blanja online,positif,,,,
Saya daftar sebagai penjual tapi pas saya dah menyelesaikan postingan pertama saya dan mau pencet tombol kirim katanya"batal disimpan" itu kenapa ya?,negatif,,,,
Kalo mau belanja tinggal beli sekarang,positif,,,,
"Toko penjualan online yang lengkap terpercaya dan sangat memudahkan para pembeli belanja produk indonesia tanpa ribet, thanks shopee",positif,,,,
Hip . .....,positif,,,,
Bagus,positif,,,,
"Terima kasih sopi , telah membantu perekonomian saya ??????",positif,,,,
Bug semakin parah,negatif,,,,
Oke sip info nya,positif,,,,
Terima kasih shopee telah pelayanan luar biasa,positif,,,,
Pelayanan cepat dan bagus,positif,,,,
Iklan yang sering muncul sangat mengganngu..jadi tidak simpatik,negatif,,,,
Mengapa aplikasi shoope makan lama makin agak berat gak spt yg dulu.,negatif,,,,
Suka bingit,positif,,,,
Siap pak,positif,,,,
Tindak tegas vendor nakal yang tidak bisa return..merugikan konsumen!!!,negatif,,,,
Iklan shopee kok keluar terus d hp saya sangat menganggu,negatif,,,,
Mudah,positif,,,,
Good app,positif,,,,
Sukses selalu buat shopee dan jangan lupa tambahkan limit spinjam nya...,positif,,,,
Iklan Aplikasi ini menutup layar. Mengganggu privasi,negatif,,,,
uhuy,positif,,,,
Shopee doang yg bisa Di percaya,positif,,,,
Terimakasih om tante sudah menjadi solusi memenuhi ke inginan akau,positif,,,,
Bagus aplikasi nya,positif,,,,
apl nya sangat baik,positif,,,,
Makin lelet ??,negatif,,,,
Yang bilang aplikasinya lemot berarti hp lu kentang,positif,,,,
Shopee gitu,positif,,,,
Jadi seller pemula agak susah lakunya ya,positif,,,,
Mantap,positif,,,,
"Udah lemot, kualitas nya jelek, duit bonus ga bisa diambil. Bisa bisa banyak yang pindah aplikasi nih.",negatif,,,,
Baik buat belanja tanpa pergi ke toko,positif,,,,
enaknya aplikasi ini banya gratis ongkirnya,positif,,,,
"Kenapa ya pengajuan paylater nya gabisa gitu,udah dicoba berkali kali juga tetep sama gabisa juga,apa mungkin kendala atau memang gabolehin utang ini hihi",negatif,,,,
"Katanya gratis ongkir nyatanya cuma potongan doank, mending beli disini lbih murah dri pada beli online gk kelamaan nunggu",negatif,,,,
Apk bagus,positif,,,,
sangat luar biasaah,positif,,,,
Nyuruh belanja Mulu tapi ngasih limit Paylater kayak bocah cuma 300rb....dalam sebulan bisa 4x top up gara2 limit kecil.... Ogah gw belanja kalau ga naik limit,negatif,,,,
Apk bagus,positif,,,,
